OGID	OG_Merge_Status	phyloOGID(s)	synteOGID(s)	paternalDiploid	tetraploid	maternalDiploid	numSeqs_paternalDiploid	numSeqs_tetraploid	numSeqs_maternalDiploid	numSeqs_total	numSpecies	Assignment_Genome	Targeting	CyMIRA_interaction	CyMIRA_subInteraction	PHY_taxon_composition	PHY_top	PHY_BS_support	PHY_paternal_homeolog_in_tet	PHY_maternal_homeolog_in_tet
OG0	Identical	OG0000018.0	OG0011891	Csuecicum_BBB02272	AUR62014450	Cpallidicaule_CP014560	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1	Overlapping	"OG0000029.0,OG0000046.1"	OG0014528	"Csuecicum_BBB14240,Csuecicum_BBB17747"	"AUR62025389,AUR62008654,AUR62010039,AUR62011642,AUR62012378,AUR62012802,AUR62014150,AUR62014752,AUR62015339,AUR62015351,AUR62019088,AUR62020817,AUR62026564,AUR62029545,AUR62029832,AUR62030034,AUR62030068,AUR62034466,AUR62035358,AUR62035977,AUR62036699,AUR62039188,AUR62040082,AUR62041301,AUR62041329"	"Cpallidicaule_CP013384,Cpallidicaule_CP001793,Cpallidicaule_CP002052,Cpallidicaule_CP020455,Cpallidicaule_CP020598,Cpallidicaule_CP020674"	2	25	6	33	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG2	Overlapping	OG0000030.0	OG0000122	"Csuecicum_BBB14435,Csuecicum_BBB14433,Csuecicum_BBB14434,Csuecicum_BBB14436"	"AUR62019147,AUR62014409,AUR62014410,AUR62014411,AUR62019146,AUR62019148,AUR62019149"	"Cpallidicaule_CP014518,Cpallidicaule_CP014517"	4	7	2	13	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG3	Overlapping	"OG0000043.0,OG0013639.0"	OG0013126	Csuecicum_BBB11330	"AUR62006236,AUR62028471,AUR62039701"	"Cpallidicaule_CP017990,Cpallidicaule_CP017989"	1	3	2	6	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG4	Ortho1-specific	OG0000044.0	N/A	Csuecicum_BBB18217	AUR62039027	Cpallidicaule_CP020759	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG5	Identical	OG0000046.0	OG0013933	Csuecicum_BBB12731	AUR62034238	Cpallidicaule_CP009799	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG6	Overlapping	OG0000064.0	OG0013243	Csuecicum_BBB00080	"AUR62020126,AUR62001651"	Cpallidicaule_CP019672	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62020126	AUR62001651
OG7	Overlapping	OG0000064.1	OG0004390	Csuecicum_BBB13463	"AUR62033425,AUR62011049"	Cpallidicaule_CP007448	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62033425	AUR62011049
OG8	Overlapping	"OG0000076.0,OG0000076.2,OG0000076.3,OG0000076.1"	OG0000006	"Csuecicum_BBB04842,Csuecicum_BBB04834,Csuecicum_BBB04836,Csuecicum_BBB04841,Csuecicum_BBB04835,Csuecicum_BBB04837,Csuecicum_BBB04838,Csuecicum_BBB04839,Csuecicum_BBB04840"	"AUR62016881,AUR62010348,AUR62016874,AUR62010346,AUR62016876,AUR62010341,AUR62016880,AUR62010340,AUR62010342,AUR62010343,AUR62010344,AUR62010345,AUR62010347,AUR62016875,AUR62016877,AUR62016878,AUR62016879"	"Cpallidicaule_CP021720,Cpallidicaule_CP021716,Cpallidicaule_CP021718,Cpallidicaule_CP021719,Cpallidicaule_CP021717"	9	17	5	31	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG9	Overlapping	OG0000087.0	OG0003420	Csuecicum_BBB07775	"AUR62023502,AUR62004448"	Cpallidicaule_CP015096	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	68	AUR62004448	AUR62023502
OG10	Overlapping	OG0000093.0	OG0015892	Csuecicum_BBB01977	AUR62022816	Cpallidicaule_CP017384	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG11	Overlapping	OG0000093.1	OG0015029	Csuecicum_BBB14625	AUR62042363	Cpallidicaule_CP001373	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG12	Overlapping	"OG0000096.0,OG0000096.4,OG0000096.5,OG0000096.3,OG0000096.1"	OG0000196	"Csuecicum_BBB03537,Csuecicum_BBB03534,Csuecicum_BBB03536,Csuecicum_BBB03538,Csuecicum_BBB03535"	"AUR62021061,AUR62021057,AUR62031475,AUR62021060,AUR62031470,AUR62021058,AUR62021062,AUR62031471,AUR62031472"	"Cpallidicaule_CP012443,Cpallidicaule_CP012437,Cpallidicaule_CP012441,Cpallidicaule_CP018665,Cpallidicaule_CP018666,Cpallidicaule_CP018667,Cpallidicaule_CP012445,Cpallidicaule_CP012446,Cpallidicaule_CP012440"	5	9	9	23	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG13	Overlapping	OG0000096.2	OG0005925	Csuecicum_BBB07590	"AUR62019788,AUR62010792"	Cpallidicaule_CP000642	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62019788	AUR62010792
OG14	Overlapping	"OG0000098.0,OG0000949.0"	OG0015031	Csuecicum_BBB14281	"AUR62029833,AUR62000580,AUR62000697,AUR62001485,AUR62005839,AUR62012525,AUR62029834,AUR62032679,AUR62041538"	Cpallidicaule_CP001305	1	9	1	11	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG15	Overlapping	"OG0000111.0,OG0000111.2"	OG0000179	"Csuecicum_BBB03929,Csuecicum_BBB03927,Csuecicum_BBB03928"	"AUR62025724,AUR62001284,AUR62001285,AUR62025713,AUR62025721,AUR62025722,AUR62001282,AUR62001283"	"Cpallidicaule_CP019269,Cpallidicaule_CP019270,Cpallidicaule_CP019271"	3	8	3	14	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG16	Overlapping	"OG0000112.0,OG0000112.2,OG0000829.0"	"OG0009604,OG0001393"	"Csuecicum_BBB19014,Csuecicum_BBB19018,Csuecicum_BBB20976"	"AUR62024489,AUR62024492,AUR62026076,AUR62024484,AUR62026069,AUR62026070,AUR62026082,AUR62024488,AUR62024490,AUR62024491,AUR62024493"	"Cpallidicaule_CP010739,Cpallidicaule_CP010740,Cpallidicaule_CP010734,Cpallidicaule_CP010735,Cpallidicaule_CP010742,Cpallidicaule_CP010844,Cpallidicaule_CP010741"	3	11	7	21	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG17	Overlapping	"OG0000112.1,OG0001216.0"	OG0000032	"Csuecicum_BBB20975,Csuecicum_BBB20973,Csuecicum_BBB20974,Csuecicum_BBB20976,Csuecicum_BBB20977"	"AUR62024483,AUR62024481,AUR62024482,AUR62024484,AUR62024485,AUR62026067,AUR62026068,AUR62026069,AUR62026070,AUR62026100,AUR62026101"	"Cpallidicaule_CP010733,Cpallidicaule_CP010732,Cpallidicaule_CP010734,Cpallidicaule_CP010735"	5	11	4	20	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG18	Overlapping	OG0000119.0	OG0000234	"Csuecicum_BBB01915,Csuecicum_BBB01916,Csuecicum_BBB01917"	"AUR62012116,AUR62012117,AUR62012118,AUR62040718,AUR62040719"	"Cpallidicaule_CP017313,Cpallidicaule_CP017314,Cpallidicaule_CP017315"	3	5	3	11	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG19	Overlapping	"OG0000119.1,OG0000119.2"	OG0000904	"Csuecicum_BBB12769,Csuecicum_BBB12770"	"AUR62020017,AUR62020018,AUR62001754"	"Cpallidicaule_CP019788,Cpallidicaule_CP019789"	2	3	2	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG20	Overlapping	OG0000119.3	OG0017441	Csuecicum_BBB16669	AUR62041431	Cpallidicaule_CP018127	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG21	Overlapping	"OG0000126.0,OG0013924.0,OG0003237.0,OG0003238.0,OG0013925.0,OG0009933.0,OG0009932.0,OG0014342.0"	"OG0017540,OG0000010"	"Csuecicum_BBB09919,Csuecicum_BBB13388,Csuecicum_BBB13385,Csuecicum_BBB13387,Csuecicum_BBB09917,Csuecicum_BBB09911,Csuecicum_BBB09913,Csuecicum_BBB09915,Csuecicum_BBB09916,Csuecicum_BBB09918,Csuecicum_BBB09923,Csuecicum_BBB13384,Csuecicum_BBB13386"	"AUR62014671,AUR62012527,AUR62014668,AUR62012521,AUR62012524,AUR62014677,AUR62012523,AUR62012528,AUR62014676,AUR62012530,AUR62014666,AUR62012533,AUR62014662,AUR62012532,AUR62014663,AUR62014665,AUR62012522,AUR62012525,AUR62012526,AUR62012529"	"Cpallidicaule_CP005860,Cpallidicaule_CP005863,Cpallidicaule_CP005864,Cpallidicaule_CP005853,Cpallidicaule_CP005855,Cpallidicaule_CP005859"	13	20	6	39	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG22	Overlapping	"OG0000134.0,OG0015790.0,OG0000990.0,OG0000134.2,OG0002747.0"	"OG0017453,OG0001274,OG0001009"	"Csuecicum_BBB18577,Csuecicum_BBB18578,Csuecicum_BBB18579,Csuecicum_BBB18575,Csuecicum_BBB18574,Csuecicum_BBB18573,Csuecicum_BBB18576"	"AUR62034643,AUR62034642,AUR62008585,AUR62034645,AUR62034652,AUR62008586,AUR62034646,AUR62034653,AUR62034644,AUR62034647"	"Cpallidicaule_CP018605,Cpallidicaule_CP018599,Cpallidicaule_CP018604,Cpallidicaule_CP018598,Cpallidicaule_CP013394,Cpallidicaule_CP018607"	7	10	6	23	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG23	Overlapping	"OG0000134.1,OG0000990.1,OG0005472.0"	OG0000138	"Csuecicum_BBB10839,Csuecicum_BBB10837,Csuecicum_BBB10836,Csuecicum_BBB10838"	"AUR62020463,AUR62015753,AUR62020462,AUR62015754,AUR62020461,AUR62015751,AUR62015752"	"Cpallidicaule_CP010032,Cpallidicaule_CP010033,Cpallidicaule_CP010034"	4	7	3	14	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG24	Overlapping	"OG0000137.0,OG0000137.2,OG0001564.0"	OG0000035	"Csuecicum_BBB12550,Csuecicum_BBB01149,Csuecicum_BBB01151,Csuecicum_BBB21505,Csuecicum_BBB01147,Csuecicum_BBB01148,Csuecicum_BBB01150,Csuecicum_BBB21506,Csuecicum_BBB21507"	"AUR62000139,AUR62019320,AUR62019321,AUR62000140,AUR62000141,AUR62019319,AUR62019322,AUR62019323"	"Cpallidicaule_CP008008,Cpallidicaule_CP008009,Cpallidicaule_CP008010,Cpallidicaule_CP013847,Cpallidicaule_CP008011"	9	8	5	22	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG25	Overlapping	OG0000137.1	OG0000358	"Csuecicum_BBB06663,Csuecicum_BBB06659,Csuecicum_BBB06660,Csuecicum_BBB06661,Csuecicum_BBB06662"	"AUR62000781,AUR62000779,AUR62000780,AUR62005190"	Cpallidicaule_CP008656	5	4	1	10	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG26	Overlapping	OG0000140.0	OG0004185	Csuecicum_BBB05462	"AUR62021370,AUR62033288"	Cpallidicaule_CP007669	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021370	AUR62033288
OG27	Overlapping	"OG0000143.0,OG0000143.1"	OG0001797	"Csuecicum_BBB12389,Csuecicum_BBB12394"	"AUR62012072,AUR62024338,AUR62024332"	"Cpallidicaule_CP010911,Cpallidicaule_CP010888"	2	3	2	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG28	Overlapping	OG0000144.0	OG0008428	Csuecicum_BBB00137	"AUR62020068,AUR62001712"	Cpallidicaule_CP019735	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62020068	AUR62001712
OG29	Overlapping	OG0000144.1	OG0002671	Csuecicum_BBB20277	"AUR62033900,AUR62041904"	Cpallidicaule_CP013317	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62041904	AUR62033900
OG30	Overlapping	OG0000144.2	OG0011065	Csuecicum_BBB01428	"AUR62000222,AUR62006568"	Cpallidicaule_CP008094	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62006568	AUR62000222
OG31	Overlapping	OG0000144.3	OG0009530	Csuecicum_BBB11221	"AUR62030284,AUR62018378"	Cpallidicaule_CP010600	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62030284	AUR62018378
OG32	Identical	OG0000145.0	OG0014219	Csuecicum_BBB00152	AUR62020051	Cpallidicaule_CP019754	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG33	Overlapping	OG0000145.1	OG0010094	Csuecicum_BBB10815	"AUR62028241,AUR62002122"	Cpallidicaule_CP012069	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62028241	AUR62002122
OG34	Overlapping	OG0000145.2	OG0011336	Csuecicum_BBB16275	"AUR62040939,AUR62004856"	Cpallidicaule_CP008998	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	99	AUR62004856	AUR62040939
OG35	Overlapping	"OG0000147.0,OG0009550.0,OG0000147.1"	"OG0007443,OG0016293,OG0016050"	"Csuecicum_BBB19331,Csuecicum_BBB20783,Csuecicum_BBB20782,Csuecicum_BBB19330"	"AUR62027942,AUR62020766,AUR62027946,AUR62020765,AUR62027947,AUR62027941"	"Cpallidicaule_CP016548,Cpallidicaule_CP016550,Cpallidicaule_CP016552,Cpallidicaule_CP016547"	4	6	4	14	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG36	Overlapping	"OG0000154.0,OG0000154.3,OG0000154.2,OG0000154.1"	"OG0000181,OG0001918"	"Csuecicum_BBB10899,Csuecicum_BBB10901,Csuecicum_BBB10902,Csuecicum_BBB10903,Csuecicum_BBB10898,Csuecicum_BBB10900"	"AUR62009898,AUR62001471,AUR62009896,AUR62009895,AUR62009892,AUR62009897,AUR62009899"	"Cpallidicaule_CP019475,Cpallidicaule_CP019476,Cpallidicaule_CP019477,Cpallidicaule_CP019478"	6	7	4	17	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG37	Overlapping	OG0000156.0	OG0007641	Csuecicum_BBB16371	"AUR62023068,AUR62009386"	Cpallidicaule_CP016962	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62009386	AUR62023068
OG38	Overlapping	OG0000156.1	OG0008596	Csuecicum_BBB20753	"AUR62025448,AUR62008783"	Cpallidicaule_CP018918	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62008783	AUR62025448
OG39	Overlapping	"OG0000164.0,OG0001488.0"	OG0000261	"Csuecicum_BBB19225,Csuecicum_BBB08973,Csuecicum_BBB19224,Csuecicum_BBB19226"	"AUR62023699,AUR62023701,AUR62023763,AUR62030354,AUR62034580,AUR62034581,AUR62036024,AUR62002490,AUR62023698,AUR62023700,AUR62023702"	"Cpallidicaule_CP011638,Cpallidicaule_CP011639"	4	11	2	17	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG40	Overlapping	OG0000167.0	OG0017397	Csuecicum_BBB19544	AUR62041801	Cpallidicaule_CP011215	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG41	Overlapping	OG0000175.0	OG0009236	Csuecicum_BBB06443	"AUR62011311,AUR62016745"	Cpallidicaule_CP021579	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62016745	AUR62011311
OG42	Overlapping	OG0000175.1	OG0004399	Csuecicum_BBB05216	"AUR62011061,AUR62033438"	Cpallidicaule_CP007434	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62033438	AUR62011061
